symbol,articlesInLastWeek,companyNewsScore,bearishPercent,bullishPercent,averageSentimentScore,totalArticles,sectorAverageBullishPercent,sectorAverageNewsScore,sector,marketCap,peRatio,price
SMCI,5,0.5818,0.0,0.8,0.1636,5,0.5672,0.5757,Technology,24887310336.0,22.66,41.7
RFV,4,0.5817,0.0,1.0,0.1635,4,0.0,0.0,Unknown,0.0,0.0,0.0
ILMN,6,0.5815,0.0,0.6667,0.163,6,0.0,0.0,Unknown,0.0,0.0,0.0
AVGO,12,0.5814,0.0,0.6667,0.1627,12,0.5672,0.5757,Technology,1117959094272.0,110.59,237.76
SKYX,11,0.5814,0.0,0.8182,0.1628,11,0.0,0.0,Unknown,0.0,0.0,0.0
MTN,5,0.5812,0.2,0.6,0.1625,5,0.0,0.0,Unknown,0.0,0.0,0.0
FOMC,5,0.5812,0.0,1.0,0.1624,5,0.0,0.0,Unknown,0.0,0.0,0.0
UPST,4,0.5812,0.0,0.75,0.1624,4,0.0,0.0,Unknown,0.0,0.0,0.0
MGROF,3,0.5808,0.0,0.6667,0.1617,3,0.0,0.0,Unknown,0.0,0.0,0.0
AMD,49,0.5806,0.0612,0.7347,0.1612,49,0.5672,0.5757,Technology,184126193664.0,82.89,113.56
VST,3,0.5806,0.0,1.0,0.1611,3,0.6583,0.6078,Utilities,53958877184.0,25.16,159.01
TSM,8,0.5805,0.0,0.625,0.161,8,0.0,0.0,Unknown,0.0,0.0,0.0
VOO,7,0.5802,0.0,0.7143,0.1605,7,0.0,0.0,Unknown,0.0,0.0,0.0
CRN,16,0.5801,0.0,0.4375,0.1602,16,0.0,0.0,Unknown,0.0,0.0,0.0
FE,3,0.5801,0.0,1.0,0.1601,3,0.6583,0.6078,Utilities,23894257664.0,22.02,41.4
HOOD,5,0.58,0.0,0.4,0.16,5,0.0,0.0,Unknown,0.0,0.0,0.0
GOOGL,21,0.5798,0.0952,0.4286,0.1596,21,0.5255,0.5696,Communication Services,2090794483712.0,19.18,171.84
PPG,11,0.5795,0.0,0.6364,0.1591,11,0.3968,0.543,Basic Materials,25071659008.0,19.55,110.46
IBD,7,0.5795,0.0,0.5714,0.159,7,0.0,0.0,Unknown,0.0,0.0,0.0
MIND,3,0.5795,0.0,1.0,0.1591,3,0.0,0.0,Unknown,0.0,0.0,0.0
CBOE,9,0.5793,0.0,0.6667,0.1586,9,0.3882,0.5556,Financial Services,23685033984.0,29.68,226.19
PHM,4,0.5792,0.0,0.25,0.1584,4,0.4488,0.5652,Consumer Cyclical,19661889536.0,6.93,98.1
VKI,3,0.5792,0.0,1.0,0.1583,3,0.0,0.0,Unknown,0.0,0.0,0.0
NEM,13,0.5791,0.0,0.5385,0.1581,13,0.3968,0.543,Basic Materials,58438062080.0,11.96,52.5
TTE,9,0.5788,0.0,0.6667,0.1576,9,0.0,0.0,Unknown,0.0,0.0,0.0
CAN,10,0.5787,0.0,0.7,0.1575,10,0.0,0.0,Unknown,0.0,0.0,0.0
CVE,3,0.5787,0.0,0.6667,0.1575,3,0.0,0.0,Unknown,0.0,0.0,0.0
JD,16,0.5786,0.0,0.9375,0.1571,16,0.0,0.0,Unknown,0.0,0.0,0.0
EMX,9,0.5786,0.0,0.6667,0.1571,9,0.0,0.0,Unknown,0.0,0.0,0.0
BRP,13,0.5783,0.1538,0.6154,0.1566,13,0.0,0.0,Unknown,0.0,0.0,0.0
SIG,6,0.5783,0.0,0.6667,0.1565,6,0.0,0.0,Unknown,0.0,0.0,0.0
MNRO,6,0.5783,0.0,0.5,0.1566,6,0.0,0.0,Unknown,0.0,0.0,0.0
BIDU,5,0.5783,0.0,0.6,0.1567,5,0.0,0.0,Unknown,0.0,0.0,0.0
MRVL,26,0.5781,0.0385,0.5385,0.1561,26,0.0,0.0,Unknown,0.0,0.0,0.0
VSTS,6,0.5781,0.0,1.0,0.1562,6,0.0,0.0,Unknown,0.0,0.0,0.0
MQ,6,0.5778,0.0,0.6667,0.1556,6,0.0,0.0,Unknown,0.0,0.0,0.0
FOXA,4,0.5778,0.0,0.5,0.1556,4,0.5255,0.5696,Communication Services,23681802240.0,13.63,55.06
QFIN,9,0.5777,0.0,0.6667,0.1554,9,0.0,0.0,Unknown,0.0,0.0,0.0
SAFE,4,0.5777,0.0,0.5,0.1554,4,0.0,0.0,Unknown,0.0,0.0,0.0
VNQ,3,0.5776,0.0,1.0,0.1551,3,0.0,0.0,Unknown,0.0,0.0,0.0
DG,5,0.5774,0.0,0.6,0.1548,5,0.5072,0.5582,Consumer Defensive,21414041600.0,19.05,97.36
LYB,8,0.5773,0.0,1.0,0.1546,8,0.3968,0.543,Basic Materials,18432288768.0,19.84,57.35
SH,4,0.577,0.0,0.75,0.154,4,0.0,0.0,Unknown,0.0,0.0,0.0
AMBR,3,0.577,0.0,1.0,0.1541,3,0.0,0.0,Unknown,0.0,0.0,0.0
PANW,5,0.5769,0.0,0.8,0.1538,5,0.5672,0.5757,Technology,122231103488.0,104.75,183.31
DIS,7,0.5765,0.0,0.4286,0.153,7,0.5255,0.5696,Communication Services,201096314880.0,22.83,111.86
ALRS,6,0.5765,0.0,0.8333,0.1529,6,0.0,0.0,Unknown,0.0,0.0,0.0
HITI,6,0.5764,0.0,1.0,0.1528,6,0.0,0.0,Unknown,0.0,0.0,0.0
BALT,3,0.5764,0.0,1.0,0.1528,3,0.0,0.0,Unknown,0.0,0.0,0.0
TSLA,66,0.5762,0.0,0.4394,0.1524,66,0.4488,0.5652,Consumer Cyclical,1161349300224.0,206.03,360.56
AR,14,0.5756,0.0,0.5714,0.1512,14,0.0,0.0,Unknown,0.0,0.0,0.0
AXP,9,0.5756,0.0,0.6667,0.1512,9,0.3882,0.5556,Financial Services,205798014976.0,20.51,293.75
SE,13,0.5755,0.0,0.4615,0.151,13,0.0,0.0,Unknown,0.0,0.0,0.0
TOV,6,0.5755,0.0,1.0,0.1511,6,0.0,0.0,Unknown,0.0,0.0,0.0
KTB,5,0.5752,0.0,0.8,0.1505,5,0.0,0.0,Unknown,0.0,0.0,0.0
TECH,10,0.5751,0.0,0.8,0.1501,10,0.5927,0.5837,Healthcare,7585955328.0,58.3,48.39
KULR,4,0.575,0.0,1.0,0.15,4,0.0,0.0,Unknown,0.0,0.0,0.0
IHICY,4,0.575,0.0,0.5,0.15,4,0.0,0.0,Unknown,0.0,0.0,0.0
MIR,4,0.575,0.0,0.5,0.15,4,0.0,0.0,Unknown,0.0,0.0,0.0
ADM,3,0.5747,0.0,1.0,0.1494,3,0.5072,0.5582,Consumer Defensive,23139049472.0,16.96,48.16
ROCK,7,0.5745,0.0,0.2857,0.149,7,0.0,0.0,Unknown,0.0,0.0,0.0
HNW,3,0.5745,0.0,1.0,0.149,3,0.0,0.0,Unknown,0.0,0.0,0.0
BATS,5,0.5742,0.0,0.8,0.1485,5,0.0,0.0,Unknown,0.0,0.0,0.0
